iter	Passed	Remaining
0	6	629
1	11	583
2	18	590
3	24	592
4	31	590
5	36	575
6	42	569
7	48	558
8	54	550
9	59	539
10	65	529
11	70	520
12	76	510
13	81	503
14	87	497
15	93	488
16	98	481
17	104	475
18	110	470
19	115	463
20	121	456
21	126	450
22	132	443
23	138	439
24	144	433
25	150	427
26	155	420
27	160	413
28	166	408
29	172	402
30	178	396
31	183	390
32	189	384
33	194	377
34	200	371
35	205	365
36	211	359
37	216	353
38	222	348
39	228	342
40	234	336
41	239	330
42	244	324
43	250	318
44	256	312
45	261	306
46	266	300
47	272	294
48	277	288
49	283	283
50	288	277
51	293	271
52	299	265
53	304	259
54	310	253
55	315	247
56	321	242
57	327	237
58	333	231
59	339	226
60	344	220
61	350	214
62	355	208
63	361	203
64	366	197
65	372	191
66	378	186
67	384	180
68	389	175
69	395	169
70	400	163
71	406	158
72	411	152
73	417	146
74	423	141
75	429	135
76	434	129
77	440	124
78	445	118
79	451	112
80	457	107
81	462	101
82	468	95
83	473	90
84	479	84
85	484	78
86	490	73
87	496	67
88	501	62
89	507	56
90	512	50
91	519	45
92	524	39
93	530	33
94	536	28
95	542	22
96	547	16
97	553	11
98	558	5
99	564	0
