iter	Passed	Remaining
0	164	164696
1	172	86271
2	184	61244
3	193	48212
4	201	40169
5	223	37018
6	238	33765
7	286	35550
8	319	35125
9	344	34072
10	357	32176
11	369	30398
12	387	29450
13	430	30336
14	448	29472
15	468	28834
16	494	28590
17	504	27526
18	515	26604
19	526	25791
20	537	25070
21	551	24503
22	563	23944
23	573	23309
24	585	22853
25	593	22215
26	599	21596
27	609	21153
28	616	20640
29	624	20202
30	634	19827
31	642	19429
32	652	19117
33	660	18777
34	672	18547
35	681	18247
36	689	17940
37	700	17735
38	710	17514
39	722	17331
40	733	17146
41	740	16898
42	753	16764
43	762	16569
44	771	16367
45	784	16278
46	796	16159
47	811	16099
48	822	15970
49	835	15868
50	845	15724
51	856	15616
52	870	15553
53	884	15492
54	896	15409
55	907	15297
56	918	15198
57	930	15114
58	940	14999
59	954	14955
60	976	15025
61	991	14996
62	1001	14889
63	1013	14828
64	1027	14779
65	1043	14771
66	1058	14741
67	1066	14614
68	1073	14486
69	1088	14457
70	1096	14342
71	1104	14234
72	1114	14157
73	1128	14116
74	1139	14048
75	1148	13968
76	1160	13912
77	1178	13934
78	1188	13852
79	1201	13819
80	1209	13721
81	1215	13611
82	1222	13506
83	1232	13439
84	1239	13339
85	1246	13242
86	1252	13148
87	1259	13057
88	1267	12977
89	1274	12885
90	1283	12816
91	1290	12734
92	1297	12650
93	1303	12564
94	1311	12496
95	1319	12420
96	1325	12336
97	1328	12223
98	1334	12149
99	1342	12085
100	1350	12018
101	1358	11956
102	1365	11894
103	1376	11856
104	1382	11780
105	1390	11726
106	1397	11667
107	1406	11620
108	1414	11562
109	1420	11496
110	1429	11445
111	1436	11393
112	1445	11344
113	1451	11283
114	1459	11234
115	1467	11182
116	1475	11134
117	1484	11092
118	1491	11045
119	1500	11002
120	1507	10948
121	1513	10894
122	1522	10854
123	1529	10807
124	1537	10762
125	1544	10710
126	1553	10678
127	1561	10636
128	1570	10600
129	1578	10565
130	1586	10521
131	1593	10480
132	1602	10444
133	1609	10400
134	1615	10353
135	1622	10305
136	1629	10265
137	1638	10231
138	1646	10199
139	1654	10166
140	1662	10125
141	1671	10102
142	1679	10062
143	1687	10030
144	1695	9996
145	1701	9953
146	1711	9932
147	1718	9890
148	1726	9861
149	1732	9820
150	1742	9795
151	1749	9759
152	1761	9748
153	1767	9710
154	1777	9688
155	1785	9660
156	1792	9624
157	1800	9592
158	1807	9560
159	1813	9522
160	1822	9497
161	1829	9463
162	1838	9443
163	1846	9415
164	1855	9388
165	1861	9352
166	1869	9324
167	1875	9290
168	1883	9259
169	1889	9224
170	1897	9196
171	1903	9164
172	1910	9133
173	1919	9111
174	1926	9081
175	1933	9051
176	1940	9021
177	1948	8998
178	1955	8968
179	1962	8940
